2aminobenzothiazole_conc3_T30,2hydroxyethylhydrazine_conc3_T30,3aminotriazole_conc3_T30,4hydroxytamoxifene_conc3_T30,A23187_conc3_T30,abietic-acid_conc3_T30,acifluorofen-methyl_conc3_T30,aconitine_conc3_T30,agelasine_conc3_T30,alamethicin_conc3_T30,alexidine_conc3_T30,allantoin_conc3_T30,alternariol_conc3_T30,aluminum-sulfate_conc3_T30,amantadine_conc3_T30,amiodarone_conc3_T30,ammonium-persulfate_conc3_T30,amphotericinB_conc3_T30,antimycin_conc3_T30,apicidin_conc3_T30,artemesinin_conc3_T30,azide_conc3_T30,BaCl2_conc3_T30,bafilomycin_conc3_T30,BCS_conc3_T30,betulinic-acid_conc3_T30,bifonazole_conc3_T30,borate_conc3_T30,brefeldinA_conc3_T30,CaCl2_conc3_T30,caffeine_conc3_T30,calcofluor-white_conc3_T30,camptothecin_conc3_T30,castanospermine_conc3_T30,cerulenin_conc3_T30,chloroquine_conc3_T30,chlorpromazine_conc3_T30,chromium-III_conc3_T30,ciclopirox-olamine_conc3_T30,cisplatin_conc3_T30,climbazole_conc3_T30,clotrimazole_conc3_T30,colistin_conc3_T30,congo-red_conc3_T30,crystal-violet_conc3_T30,cycloheximide_conc3_T30,cyclosporin_conc3_T30,cyproconazole_conc3_T30,daphnetin_conc3_T30,deferoxamine_conc3_T30,desiperimine_conc3_T30,dyclonine_conc3_T30,emodin_conc3_T30,erlotinib_conc3_T30,fenpropimorph_conc3_T30,FK506_conc3_T30,fluconazole_conc2_T30,5-fluorocytosine_conc3_T30,fluspirilene_conc3_T30,gallium-nitrate_conc3_T30,geldanamycin_conc3_T30,haloperidol_conc3_T30,hydrogen-peroxide_conc3_T30,hydroxyurea_conc3_T30,hygromycin_conc3_T30,imazilil_conc3_T30,itraconazole_conc3_T30,K252a_conc3_T30,LiCl_conc3_T30,lovastatin_conc3_T30,malachite-green_conc3_T30,manganese-sulfate_conc3_T30,mastaparan_conc3_T30,menadione_conc3_T30,menthol_conc3_T30,metavanadate_conc3_T30,methotrexate_conc3_T30,methylbenzethonium_conc3_T30,MG132_conc3_T30,miconazole_conc3_T30,mitomycin_conc3_T30,MMS-1_conc3_T30,myclobutanil_conc3_T30,mycophenolic-acid_conc3_T30,NA8_conc3_T30,NaCl_conc3_T30,NaNO2_conc3_T30,neomycin-sulfate_conc3_T30,nicotinamide_conc3_T30,nigericin_conc3_T30,nikkomycin_conc3_T30,NiSO4_conc3_T30,palmitic-acid_conc3_T30,pentamidine_isethionate_conc3_T30,phenanthroline_conc3_T30,polyoxinB_conc3_T30,Prussian-Blue_conc3_T30,quinic-acid_conc3_T30,rifamycin_conc3_T30,SDS_conc3_T30,selumenitib_conc3_T30,sertraline_conc3_T30,sodium-iodide_conc3_T30,sodium-molybdate_conc3_T30,sodium-selenite_conc3_T30,sodium-sulfite_conc3_T30,sorafenib_conc3_T30,STF-62247_conc3_T30,suloctodil_conc3_T30,tamoxifen-citrate_conc3_T30,tautomycin_conc3_T30,tellurite_conc3_T30,terbinafine_conc3_T30,thiabendazole_conc3_T30,thozonium-bromide_conc3_T30,tomatine_conc3_T30,trichostatinA_conc3_T30,trimethoprim_conc3_T30,tunicamycin_conc3_T30,usnic-acid_conc3_T30,valinomycin_conc3_T30,verrucarin_conc3_T30,ZnCl2_conc3_T30
-12.390959,99.463196,-47.518637,-8.810942,4.29748,-17.59699,-11.436236,-10.310285,35.952584,104.501338,-93.291595,9.416931,57.535545,-89.368391,46.261282,62.270526,51.229808,1.500061,0.015525,56.03961,26.171564,41.502424,-103.471497,-46.364111,-20.118352,-56.990792,-7.266567,18.407845,83.244218,23.925207,-64.180401,24.55939,-62.479775,23.725549,-12.39811,-83.452467,-43.493433,81.718949,-22.196387,-42.844746,-72.02246,-10.96641,60.297827,61.945056,-25.022274,-39.212778,49.994218,-50.03305,-14.399838,67.032256,-20.411269,-332.874175,-43.095955,-7.110769,-18.185538,-50.400257,-139.295384,-45.914442,-50.450104,-91.167517,32.184258,-51.808725,109.324798,-30.406959,44.772804,54.825231,41.853566,-210.294683,32.218416,31.259264,-42.361901,74.940842,-33.896862,-54.780785,-2.442299,3.70399,35.199049,-34.806962,10.892386,-4.610383,16.999421,-49.694008,7.48018,-65.301075,-116.116532,28.001799,-134.897996,3.072775,31.715252,62.07269,17.893134,-16.415807,14.359468,-16.206051,28.977217,-0.8864018287451694,-107.157448,2.8664,-42.920947,3.692686,10.074365,-8.375766,45.71387,-135.623276,-14.011093,56.837354,4.915093,-14.541181,2.750664,-164.572119,56.645971,-33.042423,-31.103112,-27.897476,34.798421,6.03769,-125.625952,29.12957,70.102756,-17.918227,-2.355947,33.778516,80.812676
26.735925,-1.9008945338244638,18.639025,-229.150985,73.488603,0.9108673718423237,-48.800696,-1.1710011709993067,-297.873286,-2.9416603164019337,-55.348509,36.433529,0.37396189891574577,-6.838984,-0.7792093222151723,-9.098697,62.334522,-74.060192,-91.059646,-27.663605,44.411834,-19.259537,55.754091,28.460506,82.596142,51.912332,-106.386455,-31.310937,32.086319,-3.412636,-60.726646,19.823783,-5.783374,103.349679,36.326551,-0.7084016453678398,-61.252939,56.623166,70.360406,-26.331965,-140.440015,-328.2048,19.190175,34.269243,-40.564389,21.16729,-6.137549,82.773993,45.374517,90.696233,-322.790634,0.3339515223038671,-38.81883,0.15906437777577853,0.3409101545346259,-48.266527,-0.8362119616857739,20.50504,20.79981,74.061164,-64.249922,0.972481684089779,-135.439899,49.089586,-326.879458,4.208294,36.582638,-1.1542023486904434,-180.491616,35.169547,18.252975,76.202521,0.29702811256154904,-23.668918,-220.135759,-1.3602992013478563,-28.127438,18.132285,-101.779509,28.632572,-167.374279,2.927829,-34.307142,-9.235222,18.695086,0.5698403233885437,-14.33103,50.353026,-12.631569,0.40956683936464067,54.626823,18.776173,69.788973,2.855411,-265.917939,93.413932,-140.188233,113.144641,-13.272099,18.335085,-54.958598,-1.659749607695291,-17.934697,-39.356253,-14.103167,24.102562,-37.128536,-20.379811,-9.010041,0.661878466692467,-1.5545800796710343,2.691258,43.298572,38.358847,2.335099,14.473617,1.3441016434642856,56.453545,-3.168274,-49.071984,-0.7130060824105047,-2.6881966082807742,-121.099541
-0.944822,-1.9008945338244638,118.536041,-108.495497,117.847484,0.9108673718423237,38.534702,-1.1710011709993067,-0.23612279430939218,-2.9416603164019337,-104.285614,-47.287191,0.37396189891574577,94.4902,-0.7792093222151723,125.062354,12.141259,51.759245,-16.780036,36.439809,56.954839,3.668415,78.785881,-18.900268,-78.795263,-109.364583,-3.800818,-51.001933,37.80228,-26.33663,6.319848,-37.253423,73.092603,44.090489,32.865333,-264.133425,-1.113994944388544,60.729771,14.803018,-115.3628,-225.925736,-1.607914441122069,-11.018497,67.695982,116.845546,-6.238132,-117.426263,329.839369,44.425147,-34.34395,-1.6823118495903449,0.3339515223038671,-11.061567,0.15906437777577853,0.3409101545346259,88.364196,-0.8362119616857739,81.495632,-20.389089,51.986628,46.236336,0.972481684089779,94.646327,-27.800562,-0.8683891749779005,-176.104351,13.830713,-1.1542023486904434,-217.43251,-5.007653,-73.530658,84.21791,-161.679451,206.720029,-102.711375,-1.3602992013478563,173.722015,153.417396,-8.13932,-144.20385,-187.851076,-54.969351,126.500097,26.755255,-89.588088,-76.239598,150.822276,-187.875271,-34.306205,-261.77445,3.503594,123.226502,-99.946031,18.160182,-174.281441,-0.8864018287451694,-63.583389,40.954976,216.552316,47.40449,-136.396993,-1.659749607695291,14.884356,15.779362,53.162428,24.485337,-134.768718,36.372345,-35.004107,0.661878466692467,-1.5545800796710343,98.541209,11.410139,13.051399,101.798766,-19.548246,1.3441016434642856,-24.539292,-194.570508,18.674033,-0.7130060824105047,-2.6881966082807742,-169.371448
-29.498142,-72.341975,-110.532908,34.647391,-88.657068,11.5953,-20.262663,-14.02531,37.577135,54.973262,-61.445945,-80.747106,26.194298,-92.240713,1.505194,31.177691,-30.520987,-50.934775,-49.411036,-4.952858,-88.617272,-142.644111,-121.926574,-73.29579,-125.864552,-12.287551,78.709674,-76.505564,-44.438805,-51.686123,-98.691605,18.30761,35.927961,-2.839627,-36.119977,-83.810768,-49.038761,-145.837906,-20.987737,28.390949,10.604935,-43.439953,-14.755353,51.030148,-105.54813,60.804734,35.356413,104.663513,7.770513,-24.137729,18.685114,-63.930025,-30.07602,38.349615,176.641252,141.969975,-186.309214,13.371981,-68.85359,-3.998701,-59.609571,-53.44154,42.48216,-10.610265,-42.53602,20.382227,127.330949,-18.354772,35.31254,-19.813191,-32.03185,13.142969,-25.481692,-28.230761,-8.112077,63.814829,20.911369,40.787341,-35.338517,5.396735,-3.621423,34.887742,-5.9983,97.757677,49.875511,-9.664744,-86.771369,-35.426381,-56.076398,-49.971328,115.557147,-45.038138,-180.606702,-25.307749,-30.176053,-107.489103,-66.149573,48.17105,171.297237,11.63911,-77.319638,-129.976452,10.404722,42.292141,-8.433068,6.561958,-18.562726,26.583923,31.978591,0.661878466692467,10.850777,33.315579,29.646215,29.391496,-38.587139,-92.325338,-67.183398,-15.017046,-44.875864,76.052004,-142.573033,-24.080345,-105.01988
-47.704215,123.927046,72.732075,18.603897,-5.247973,27.610765,-37.733011,-35.406175,-3.568782,7.880451,-16.089761,-70.091194,55.346211,-35.040509,29.044486,12.863083,-3.470695,-13.298212,-39.904977,-15.708738,-9.372354,-33.109304,46.027077,-9.291434,-24.043413,44.36737,-82.694945,-33.696894,27.050679,2.308933,-28.69051,0.865402,-11.282626,-2.205419,16.267188,-82.299271,-6.905126,16.539653,-42.490338,21.334769,-133.577547,56.149219,-30.700606,74.920813,-7.911896,-62.268708,-91.392437,-18.063528,-27.841139,-70.029452,-38.454286,34.290759,4.113183,-25.470257,-24.053034,-87.639171,-144.644161,-5.972015,5.633605,-66.085571,5.854205,49.595564,71.796671,3.381184,47.396934,-17.337421,33.006705,-69.402309,52.143672,-20.955143,127.265556,-92.91903,9.008584,61.383375,-35.651048,-47.299497,-15.550784,50.753219,-12.840348,12.893638,0.713139,-12.941394,91.882945,-106.956039,-65.637657,-1.175123,122.346819,-86.506009,-21.994092,34.290669,-4.009838,1.725293,-56.44458,-23.834447,-29.2266,-0.8864018287451694,-94.825916,-73.873992,1.525129,-33.800359,12.263755,-39.115451,40.599836,-251.418883,10.61811,67.265082,14.039983,33.094777,20.78365,-34.21591,35.984409,-43.913079,-45.481205,-1.64131,-1.832095,-54.107417,86.496364,-22.360077,40.110359,-3.45998,-33.460913,34.692855,6.887958
45.927889,-66.784175,3.682532,11.080137,-4.059303,-12.771048,10.352682,-65.888322,2.077487,17.914686,54.88081,-30.584578,2.731987,8.589682,-13.273535,-27.001652,-65.767231,45.676848,-5.604334,10.686555,-21.238139,53.954996,-33.95644,5.787515,4.267881,13.106778,-47.667427,-147.708863,-272.374457,28.416103,45.279622,-83.141778,-49.672408,-7.208024,-20.082917,-18.337227,26.573035,-47.017408,-34.300458,3.907246,230.092914,-23.440344,-37.237851,-0.221185,-28.915379,-23.835353,-32.309904,-101.919322,12.501938,-138.234182,32.360574,27.272326,67.920941,40.321913,1.253645,-85.503189,-212.043848,32.914693,40.733439,11.856668,-37.990843,6.857933,236.174743,-30.028313,6.797016,-88.675788,-55.70327,2.620445,54.401522,8.960343,354.699194,-55.455662,-0.233963,7.302358,34.569663,20.788936,1.595767,54.772935,26.1399,-47.552707,28.084076,60.376084,-110.385314,-169.111749,53.51404,-29.522233,-7.658917,45.934664,9.874014,-23.709999,1.457281,106.546012,-90.215175,24.331883,-9.644239,13.098051,-45.827617,-43.056414,-2.839549,-10.846703,33.498227,-2.08753,-35.716961,-484.039673,60.573379,-36.322889,-9.450744,-15.354628,9.20598,-28.501105,-12.373331,2.599619,-11.549596,37.778246,-32.257678,-7.024837,3.961777,-8.720714,56.578534,-8.842576,32.685698,-1.194868,31.731286
2.392857,-118.095141,20.559493,-6.444704,-46.441748,-52.870466,-79.068056,14.908495,-32.105451,-78.272064,-50.06376,-150.859512,-41.761106,20.240107,-52.651697,48.885336,-110.970635,-46.229113,-54.113809,-4.341081,-65.752988,-84.867749,-48.422242,-43.251602,-18.793364,27.220366,-88.513295,-15.274022,-74.166563,-56.642086,-73.971321,-82.664014,-83.636254,-88.170792,-48.704252,-25.367378,-116.158579,-69.292986,-25.715118,-31.60274,10.188877,-55.980422,-39.504372,-27.684974,-33.958259,-149.928297,13.288565,-88.66914,-67.089647,-51.53694,17.671514,-72.110483,-32.000105,-94.062195,-48.392266,-75.472483,-64.398168,-127.297563,-14.95054,-66.779468,-68.984346,-33.241848,68.529282,-38.094678,-69.5788,45.939236,-63.527745,-53.285837,11.590125,-35.906074,-119.707212,-7.553508,-64.177516,8.625245,-78.723346,-25.706486,-65.0302,-35.714314,-60.89597,-150.580385,-39.00484,-9.203184,-62.561638,-84.060016,-29.221093,-71.044254,-133.52092,-63.379599,-48.784589,-123.871119,-18.250832,-29.204924,-18.936746,-62.231816,-52.709374,-93.039819,-43.464824,-32.740005,-65.879066,-34.032439,-39.771541,-124.453284,34.120484,158.444853,37.028604,55.421059,-2.82751,24.044735,-72.762333,-48.427808,-44.054267,12.906979,-90.546664,-63.648891,-65.361659,44.705647,-44.235024,-66.081547,60.278136,-31.555055,-83.953266,-61.817776,-125.301196
14.518144,-151.530639,13.697873,-49.211455,-17.750042,-61.772377,-9.499235,-12.529756,-52.16927,-50.850674,25.361323,10.70841,-41.474603,25.31314,-68.420216,12.159765,26.024605,-43.323063,-95.111019,-37.435482,14.634422,-8.7915,-157.906602,1.741525,30.885558,14.365517,-75.27102,-71.399691,13.011411,-88.506782,25.2281,-45.501903,-30.80988,-22.02605,-94.484328,-64.427056,-68.385801,28.437566,10.652723,5.014927,-111.170622,-78.749677,25.262036,7.65963,-118.455309,4.314086,-126.409121,16.620082,12.328106,24.939854,-64.639188,-58.935012,14.176134,12.393838,33.653878,-6.762193,-95.303532,-5.451905,8.74183,-162.326063,0.875587,-60.168675,-87.25047,3.342204,-38.028668,-80.822751,5.912589,-55.635582,-11.213668,4.254549,-149.27917,-36.521512,22.391487,-8.959526,-92.063793,-37.105641,-0.312771,-14.479062,13.210522,9.171018,-46.939525,6.978079,-28.448874,24.954909,34.81726,-24.381828,31.077626,-46.748824,-21.587486,-60.434254,-27.94725,25.031751,-82.266591,23.536701,12.986503,-0.8864018287451694,-3.933292,-39.990018,-13.811003,118.80576,-62.987283,-26.290664,15.373245,-89.288911,50.299247,-51.203988,-51.289261,4.016911,-38.610499,-39.290347,-56.38917,-4.953485,37.459489,-9.198519,-92.303322,69.556422,-70.065781,-15.168445,-10.279552,19.907019,-110.898744,-76.272515,-30.087986
5.758651,-164.41045,31.366962,19.219283,44.090555,32.572224,-11.751567,31.123429,32.393738,-8.143644,-1.813373,-32.178294,24.794165,68.051107,28.753059,-54.794256,0.32513,-112.586235,10.502032,46.765587,19.232328,2.587744,10.581942,-59.558826,29.82363,-58.16526,-76.495739,-51.540513,-160.414685,-27.595825,17.563075,-19.425409,-78.958242,-24.740483,-38.518426,-12.154756,32.383893,1.133952,81.482686,-67.495213,-67.483047,-13.311836,39.104237,138.773344,14.633783,-8.499853,63.872124,-52.415409,59.215248,80.795166,41.014036,-13.85434,-69.009796,13.641309,19.636142,32.636196,-77.321017,-13.16775,-65.793059,-14.439685,-3.403166,19.652147,-39.258443,0.353969,40.890943,-117.304908,8.305517,-46.069929,-53.098338,20.678648,198.919126,134.847042,-19.177794,87.588132,7.446375,-27.438835,41.650631,-90.529072,-16.119933,-106.766236,-80.794658,-20.515993,-14.863784,99.196144,-20.916253,-5.513843,-11.425782,-3.19701,-24.358441,47.906117,21.527037,-31.642706,75.426084,-48.717922,-27.226681,-0.8864018287451694,30.489812,-84.738279,-28.757375,-21.834943,13.653866,22.925355,33.731901,-20.223189,91.78226,-45.029184,-23.170625,-46.754438,-271.977519,-34.629939,32.491907,106.180914,-69.968407,50.061545,28.824054,28.113487,-16.525416,-65.079601,-49.331493,13.250143,54.681225,-33.653447,-72.790641
31.735803,-73.463562,-22.097139,-38.623282,-49.659651,-22.837587,-7.211353,52.402808,-24.40416,98.501045,32.313624,-78.427502,21.269314,0.516154,-31.374838,14.870064,6.40962,-42.268694,-18.416038,3.263199,20.995216,15.734382,-42.50354,57.017137,41.291695,-3.169467,-130.422756,18.310786,-40.525792,3.518575,-20.62293,77.639496,-4.337994,15.983782,-49.634794,-10.693577,-18.686475,-93.077998,58.678298,-72.245251,-120.453428,-22.913456,2.956004,-3.090128,107.266082,-119.573533,-1.228429,-166.936439,-42.41369,-60.463162,52.682794,-6.306423,-13.770794,23.895871,-119.170349,-30.027346,-123.692375,-25.241689,-41.548739,-91.017552,-18.265923,30.858028,-85.176961,32.526001,46.911783,-143.886507,37.058367,49.233257,15.732572,-13.74386,-12.265282,30.94798,-71.476458,49.497837,-34.364316,-54.551715,77.531692,-10.714016,-47.894034,-126.909764,46.854754,54.392075,-40.5056,-117.074383,143.839151,-26.047864,-53.874409,-31.163754,-37.960194,12.556613,-31.114579,-38.385297,67.644683,-27.971983,-13.094098,-0.8864018287451694,11.387514,-14.51403,41.633317,89.527673,-22.340836,31.882526,35.686986,-157.445953,16.073655,81.241808,22.070155,-9.849855,22.515258,20.395234,2.780125,12.984051,-13.298729,-47.336565,12.425591,35.968532,23.390383,8.179488,50.608574,42.27056,-76.677141,36.985158,11.223014
